Time (s),Current (A),Voltage (V),Temperature (K)
1.586712,2.000000e-01,0.000000236,76.940
2.381792,2.000000e-01,0.000000239,76.960
3.151527,2.000000e-01,0.000000241,76.940
3.929754,2.000000e-01,0.000000245,76.940
4.711090,2.000000e-01,0.000000251,76.980
5.478922,2.000000e-01,0.000000255,76.940
6.260033,2.000000e-01,0.000000266,76.940
7.042188,2.000000e-01,0.000000271,76.980
7.823595,2.000000e-01,0.000000280,76.960
8.588280,2.000000e-01,0.000000286,76.920
9.320192,2.000000e-01,0.000000289,76.960
10.101461,2.000000e-01,0.000000289,76.940
10.868731,2.000000e-01,0.000000291,76.940
13.189028,4.000000e-01,0.000000316,76.940
13.962956,4.000000e-01,0.000000310,76.940
14.693664,4.000000e-01,0.000000305,76.960
15.475665,4.000000e-01,0.000000302,76.940
16.242308,4.000000e-01,0.000000296,76.940
17.025531,4.000000e-01,0.000000292,76.940
17.805222,4.000000e-01,0.000000292,76.960
18.586326,4.000000e-01,0.000000291,76.960
19.352318,4.000000e-01,0.000000291,76.940
20.084156,4.000000e-01,0.000000291,76.960
20.884088,4.000000e-01,0.000000294,76.960
21.632661,4.000000e-01,0.000000294,76.960
22.413966,4.000000e-01,0.000000292,76.960
24.878531,6.000000e-01,0.000000281,76.940
25.657691,6.000000e-01,0.000000281,76.920
26.388465,6.000000e-01,0.000000280,76.940
27.169212,6.000000e-01,0.000000279,76.940
27.936349,6.000000e-01,0.000000277,76.940
28.717364,6.000000e-01,0.000000275,76.940
29.498666,6.000000e-01,0.000000277,76.940
30.280251,6.000000e-01,0.000000277,76.980
31.046467,6.000000e-01,0.000000279,76.960
31.778257,6.000000e-01,0.000000283,76.940
32.544853,6.000000e-01,0.000000286,76.820
33.277965,6.000000e-01,0.000000287,76.820
34.059449,6.000000e-01,0.000000289,76.920
34.842192,6.000000e-01,0.000000295,76.880
37.182865,8.000000e-01,0.000000290,76.940
37.919447,8.000000e-01,0.000000287,76.940
38.651013,8.000000e-01,0.000000287,76.940
39.431965,8.000000e-01,0.000000288,76.940
40.213054,8.000000e-01,0.000000277,76.960
40.979555,8.000000e-01,0.000000278,76.920
41.711672,8.000000e-01,0.000000284,76.960
42.492214,8.000000e-01,0.000000282,76.940
43.259714,8.000000e-01,0.000000265,76.940
43.991489,8.000000e-01,0.000000282,76.940
44.773491,8.000000e-01,0.000000305,76.940
45.645092,8.000000e-01,0.000000306,76.710
46.420963,8.000000e-01,0.000000313,76.960
48.829253,1.000000e+00,0.000000274,76.940
49.564661,1.000000e+00,0.000000275,76.940
50.296307,1.000000e+00,0.000000277,76.960
51.078001,1.000000e+00,0.000000280,76.940
51.859048,1.000000e+00,0.000000283,76.960
52.627732,1.000000e+00,0.000000285,76.940
53.408054,1.000000e+00,0.000000289,76.960
54.188469,1.000000e+00,0.000000292,76.960
54.957386,1.000000e+00,0.000000294,76.960
55.736289,1.000000e+00,0.000000302,76.940
56.517866,1.000000e+00,0.000000303,76.920
57.319755,1.000000e+00,0.000000296,76.940
58.184158,1.000000e+00,0.000000284,76.940
60.534282,1.200000e+00,0.000000241,76.960
61.308272,1.200000e+00,0.000000241,76.960
62.044795,1.200000e+00,0.000000250,76.960
62.821345,1.200000e+00,0.000000252,76.940
63.606346,1.200000e+00,0.000000259,76.940
64.369975,1.200000e+00,0.000000261,76.940
65.103913,1.200000e+00,0.000000272,76.960
65.976611,1.200000e+00,0.000000269,76.940
66.749390,1.200000e+00,0.000000250,76.920
67.530588,1.200000e+00,0.000000259,76.920
68.311315,1.200000e+00,0.000000293,76.940
69.092601,1.200000e+00,0.000000389,76.940
69.873743,1.200000e+00,0.000000486,76.940
72.218569,1.400000e+00,0.000000783,76.940
72.953011,1.400000e+00,0.000000778,76.940
73.734971,1.400000e+00,0.000000771,76.940
74.516549,1.400000e+00,0.000000768,76.960
75.385689,1.400000e+00,0.000000759,76.900
76.177392,1.400000e+00,0.000000752,76.940
76.943959,1.400000e+00,0.000000750,76.960
77.676250,1.400000e+00,0.000000739,76.960
78.548617,1.400000e+00,0.000000734,76.940
79.324849,1.400000e+00,0.000000728,76.940
80.058249,1.400000e+00,0.000000727,76.960
80.835941,1.400000e+00,0.000000714,76.940
81.617584,1.400000e+00,0.000000708,76.960
83.962404,1.600000e+00,0.000000703,76.940
84.701002,1.600000e+00,0.000000694,76.690
85.478945,1.600000e+00,0.000000684,76.690
86.260688,1.600000e+00,0.000000677,76.940
87.042384,1.600000e+00,0.000000664,76.940
87.808779,1.600000e+00,0.000000653,76.920
88.591124,1.600000e+00,0.000000648,76.960
89.372346,1.600000e+00,0.000000640,76.940
90.137950,1.600000e+00,0.000000639,76.960
90.869970,1.600000e+00,0.000000639,76.960
91.762838,1.600000e+00,0.000000637,76.960
92.531796,1.600000e+00,0.000000635,76.940
93.313048,1.600000e+00,0.000000638,76.960
95.657145,1.800000e+00,0.000001158,77.010
96.395045,1.800000e+00,0.000001104,77.010
97.174861,1.800000e+00,0.000001049,77.010
97.958693,1.800000e+00,0.000001022,77.010
98.742800,1.800000e+00,0.000000965,77.010
99.507227,1.800000e+00,0.000000927,76.820
100.285987,1.800000e+00,0.000000920,77.050
101.067476,1.800000e+00,0.000000909,77.050
101.838931,1.800000e+00,0.000000906,77.030
102.632653,1.800000e+00,0.000000897,77.030
103.397814,1.800000e+00,0.000000890,76.940
104.179042,1.800000e+00,0.000000886,76.940
104.960491,1.800000e+00,0.000000886,76.940
107.307059,2.000000e+00,0.000003526,76.960
108.041447,2.000000e+00,0.000003346,76.960
108.820574,2.000000e+00,0.000003168,76.920
109.602194,2.000000e+00,0.000003082,76.980
110.383284,2.000000e+00,0.000002903,76.920
111.151043,2.000000e+00,0.000002799,76.960
111.881531,2.000000e+00,0.000002797,76.960
112.648126,2.000000e+00,0.000002792,76.940
113.542566,2.000000e+00,0.000002777,76.920
114.419189,2.000000e+00,0.000002773,76.940
115.190593,2.000000e+00,0.000002772,76.940
115.972906,2.000000e+00,0.000002772,76.920
116.753247,2.000000e+00,0.000002778,76.960
119.098402,2.200000e+00,0.000008291,76.940
119.832927,2.200000e+00,0.000008228,76.940
120.564702,2.200000e+00,0.000008197,76.940
121.347604,2.200000e+00,0.000008143,76.960
122.129177,2.200000e+00,0.000008080,76.960
122.894276,2.200000e+00,0.000008022,76.960
123.675179,2.200000e+00,0.000008016,76.940
124.457324,2.200000e+00,0.000008018,76.960
125.330914,2.200000e+00,0.000008011,76.960
126.104238,2.200000e+00,0.000008013,76.920
126.904565,2.200000e+00,0.000008017,76.920
127.666974,2.200000e+00,0.000008014,76.920
128.448296,2.200000e+00,0.000008006,76.940
130.809849,2.400000e+00,0.000018746,76.960
131.592314,2.400000e+00,0.000018639,76.920
132.359197,2.400000e+00,0.000018528,76.920
133.140932,2.400000e+00,0.000018482,76.920
133.920589,2.400000e+00,0.000018372,76.940
134.787298,2.400000e+00,0.000018261,76.920
135.518566,2.400000e+00,0.000018235,76.960
136.299712,2.400000e+00,0.000018235,76.920
137.080969,2.400000e+00,0.000018222,76.940
137.852269,2.400000e+00,0.000018216,76.940
138.637293,2.400000e+00,0.000018214,76.940
139.412864,2.400000e+00,0.000018217,76.960
140.191729,2.400000e+00,0.000018222,76.960
142.551039,2.600000e+00,0.000035215,76.960
143.337190,2.600000e+00,0.000035023,76.940
144.104129,2.600000e+00,0.000034837,76.940
144.835388,2.600000e+00,0.000034735,76.960
145.745727,2.600000e+00,0.000034555,76.900
146.496330,2.600000e+00,0.000034359,76.960
147.277890,2.600000e+00,0.000034336,76.960
148.044456,2.600000e+00,0.000034335,76.960
148.776630,2.600000e+00,0.000034348,76.940
149.543983,2.600000e+00,0.000034354,76.920
150.275575,2.600000e+00,0.000034358,76.920
151.056710,2.600000e+00,0.000034399,76.940
151.837611,2.600000e+00,0.000034412,76.960
154.295235,2.800000e+00,0.000057676,76.940
155.082628,2.800000e+00,0.000057452,76.920
155.847108,2.800000e+00,0.000057225,76.920
156.676607,2.800000e+00,0.000056999,76.920
157.409995,2.800000e+00,0.000056897,76.920
158.190846,2.800000e+00,0.000056675,76.960
158.973741,2.800000e+00,0.000056654,76.940
159.834932,2.800000e+00,0.000056678,76.940
160.570202,2.800000e+00,0.000056680,76.940
161.350942,2.800000e+00,0.000056666,76.960
162.132867,2.800000e+00,0.000056640,76.940
162.989699,2.800000e+00,0.000056554,76.940
163.730953,2.800000e+00,0.000056482,76.940
166.098457,3.000000e+00,0.000086272,76.940
166.873339,3.000000e+00,0.000086200,76.920
167.658864,3.000000e+00,0.000086146,76.940
168.422995,3.000000e+00,0.000086117,76.940
169.175793,3.000000e+00,0.000086078,76.940
169.934903,3.000000e+00,0.000086007,76.940
170.716512,3.000000e+00,0.000085937,76.940
171.483007,3.000000e+00,0.000085875,76.940
172.217638,3.000000e+00,0.000085827,76.920
172.998875,3.000000e+00,0.000085758,76.960
173.763376,3.000000e+00,0.000085676,76.960
174.544078,3.000000e+00,0.000085669,76.960
175.432147,3.000000e+00,0.000085657,76.940
