Time (s),Current (A),Voltage (V),Temperature (K)
1.577444,2.000000e-01,0.000000281,76.960
2.342129,2.000000e-01,0.000000286,76.940
3.122976,2.000000e-01,0.000000291,76.940
3.906487,2.000000e-01,0.000000296,76.940
4.729909,2.000000e-01,0.000000299,76.960
5.502218,2.000000e-01,0.000000303,76.960
6.284217,2.000000e-01,0.000000299,76.920
8.642584,3.000000e-01,0.000000291,76.940
9.426965,3.000000e-01,0.000000294,76.940
10.339596,3.000000e-01,0.000000295,76.960
11.073977,3.000000e-01,0.000000295,76.960
11.805986,3.000000e-01,0.000000297,76.960
12.587149,3.000000e-01,0.000000300,76.940
13.372762,3.000000e-01,0.000000305,76.980
15.719029,4.000000e-01,0.000000289,76.940
16.512224,4.000000e-01,0.000000290,76.920
17.279394,4.000000e-01,0.000000291,76.920
18.060002,4.000000e-01,0.000000290,76.960
18.841318,4.000000e-01,0.000000292,76.960
19.623019,4.000000e-01,0.000000292,76.960
20.389365,4.000000e-01,0.000000291,76.960
22.699948,5.000000e-01,0.000000260,76.940
23.434415,5.000000e-01,0.000000262,76.960
24.215648,5.000000e-01,0.000000266,76.940
24.997042,5.000000e-01,0.000000268,76.960
25.763054,5.000000e-01,0.000000270,76.940
26.544136,5.000000e-01,0.000000272,76.750
27.326454,5.000000e-01,0.000000274,76.940
29.685894,6.000000e-01,0.000000275,76.940
30.470430,6.000000e-01,0.000000275,76.960
31.237233,6.000000e-01,0.000000276,76.940
31.968765,6.000000e-01,0.000000277,76.940
32.750121,6.000000e-01,0.000000277,76.940
33.517034,6.000000e-01,0.000000276,76.940
34.249037,6.000000e-01,0.000000275,76.940
36.621707,7.000000e-01,0.000000246,76.940
37.391758,7.000000e-01,0.000000249,76.940
38.173564,7.000000e-01,0.000000253,76.940
38.939949,7.000000e-01,0.000000254,76.940
39.672183,7.000000e-01,0.000000261,76.940
40.453177,7.000000e-01,0.000000265,76.920
41.234669,7.000000e-01,0.000000269,76.960
43.589260,8.000000e-01,0.000000279,76.920
44.363133,8.000000e-01,0.000000277,76.920
45.095595,8.000000e-01,0.000000277,76.920
45.876268,8.000000e-01,0.000000276,76.960
46.657429,8.000000e-01,0.000000273,76.940
47.424778,8.000000e-01,0.000000269,76.920
48.156044,8.000000e-01,0.000000264,76.940
50.517678,9.000000e-01,0.000000273,76.920
51.299550,9.000000e-01,0.000000270,76.920
52.081207,9.000000e-01,0.000000265,76.960
52.847256,9.000000e-01,0.000000264,76.920
53.677653,9.000000e-01,0.000000260,76.940
54.410374,9.000000e-01,0.000000257,76.940
55.176968,9.000000e-01,0.000000255,76.940
