Time (s),Current (A),Voltage (V),Temperature (K)
1.582490,2.000000e-01,0.000000235,76.920
2.437851,2.000000e-01,0.000000233,76.900
3.191063,2.000000e-01,0.000000233,76.900
3.971378,2.000000e-01,0.000000233,76.920
4.754203,2.000000e-01,0.000000233,76.900
5.588624,2.000000e-01,0.000000232,76.900
6.350733,2.000000e-01,0.000000232,76.920
8.712981,3.000000e-01,0.000000222,76.920
9.445358,3.000000e-01,0.000000223,76.940
10.226009,3.000000e-01,0.000000226,77.010
11.010533,3.000000e-01,0.000000226,76.940
11.839527,3.000000e-01,0.000000225,76.920
12.605138,3.000000e-01,0.000000226,76.940
13.386447,3.000000e-01,0.000000229,76.900
15.729718,4.000000e-01,0.000000224,76.940
16.480285,4.000000e-01,0.000000220,76.900
17.249594,4.000000e-01,0.000000214,76.940
18.042956,4.000000e-01,0.000000213,76.920
18.810247,4.000000e-01,0.000000211,76.920
19.581529,4.000000e-01,0.000000212,76.920
20.421284,4.000000e-01,0.000000217,76.900
22.766813,5.000000e-01,0.000000290,76.880
23.502528,5.000000e-01,0.000000286,76.900
24.235304,5.000000e-01,0.000000288,76.920
25.015383,5.000000e-01,0.000000290,76.920
25.783697,5.000000e-01,0.000000289,76.920
26.562956,5.000000e-01,0.000000289,76.940
27.344036,5.000000e-01,0.000000292,76.920
29.704133,6.000000e-01,0.000000914,76.900
30.487088,6.000000e-01,0.000000865,76.920
31.318800,6.000000e-01,0.000000816,76.900
32.084943,6.000000e-01,0.000000769,76.900
32.865987,6.000000e-01,0.000000744,76.900
33.647611,6.000000e-01,0.000000716,76.880
34.429221,6.000000e-01,0.000000716,76.900
36.771975,7.000000e-01,0.000003162,76.920
37.509496,7.000000e-01,0.000003005,76.920
38.243662,7.000000e-01,0.000002927,76.920
39.021865,7.000000e-01,0.000002774,76.920
39.806449,7.000000e-01,0.000002625,76.920
40.570271,7.000000e-01,0.000002537,76.920
41.351429,7.000000e-01,0.000002535,76.920
43.711125,8.000000e-01,0.000007405,76.920
44.493833,8.000000e-01,0.000007347,76.920
45.276349,8.000000e-01,0.000007285,76.900
46.042531,8.000000e-01,0.000007255,76.900
46.774544,8.000000e-01,0.000007194,76.900
47.555855,8.000000e-01,0.000007130,76.940
48.322716,8.000000e-01,0.000007122,76.900
50.701516,9.000000e-01,0.000015922,76.920
51.466352,9.000000e-01,0.000015822,76.920
52.198593,9.000000e-01,0.000015721,76.900
52.979351,9.000000e-01,0.000015673,76.920
53.745801,9.000000e-01,0.000015565,76.920
54.477609,9.000000e-01,0.000015453,76.900
55.262195,9.000000e-01,0.000015424,76.920
57.618293,1.000000e+00,0.000028607,76.900
58.401794,1.000000e+00,0.000028493,76.900
59.234856,1.000000e+00,0.000028381,76.940
59.999981,1.000000e+00,0.000028272,76.940
60.734116,1.000000e+00,0.000028218,76.920
61.516376,1.000000e+00,0.000028107,76.900
62.295351,1.000000e+00,0.000028107,76.940
64.642375,1.100000e+00,0.000045776,76.920
65.374251,1.100000e+00,0.000045611,76.920
66.230468,1.100000e+00,0.000045423,76.920
66.987078,1.100000e+00,0.000045335,76.900
67.782708,1.100000e+00,0.000045153,76.900
68.536087,1.100000e+00,0.000044958,76.920
69.318409,1.100000e+00,0.000044901,76.920
71.675127,1.200000e+00,0.000066800,76.940
72.462437,1.200000e+00,0.000066612,76.920
73.241684,1.200000e+00,0.000066418,76.900
74.022670,1.200000e+00,0.000066324,76.900
74.792639,1.200000e+00,0.000066117,76.920
75.584285,1.200000e+00,0.000065908,76.900
76.352057,1.200000e+00,0.000065865,76.900
78.698734,1.300000e+00,0.000092339,76.900
79.445792,1.300000e+00,0.000092114,76.900
80.212397,1.300000e+00,0.000091886,76.900
80.946716,1.300000e+00,0.000091766,76.900
81.725671,1.300000e+00,0.000091520,76.880
82.492348,1.300000e+00,0.000091274,76.880
83.357465,1.300000e+00,0.000091216,76.880
85.681161,1.400000e+00,0.000120694,76.940
86.415971,1.400000e+00,0.000120660,76.920
87.198527,1.400000e+00,0.000120671,76.900
87.964378,1.400000e+00,0.000120677,76.920
88.696128,1.400000e+00,0.000120676,76.920
89.477660,1.400000e+00,0.000120668,76.900
90.259488,1.400000e+00,0.000120715,76.920
92.610785,1.500000e+00,0.000154458,76.840
93.387999,1.500000e+00,0.000154389,76.920
94.119245,1.500000e+00,0.000154321,76.920
94.900216,1.500000e+00,0.000154288,76.900
95.682922,1.500000e+00,0.000154241,76.900
96.448558,1.500000e+00,0.000154203,76.920
97.179668,1.500000e+00,0.000154175,76.920
99.538379,1.600000e+00,0.000192302,76.920
100.325282,1.600000e+00,0.000192250,76.900
101.107003,1.600000e+00,0.000192213,76.900
