Time (s),Current (A),Voltage (V),Temperature (K)
1.600746,1.000000e-01,0.005116964,285.970
2.370218,1.000000e-01,0.004709150,285.950
3.137895,1.000000e-01,0.004699452,285.990
3.871525,1.000000e-01,0.004701037,285.990
4.653585,1.000000e-01,0.004697136,286.020
5.423474,1.000000e-01,0.004697175,286.040
6.205635,1.000000e-01,0.004698840,286.040
8.674517,2.000000e-01,0.009103640,286.070
9.454441,2.000000e-01,0.009061929,286.090
10.288882,2.000000e-01,0.009063478,286.090
11.068013,2.000000e-01,0.009064220,286.120
11.837199,2.000000e-01,0.009059871,286.120
12.570698,2.000000e-01,0.009059884,286.120
13.353313,2.000000e-01,0.009059847,286.120
15.724012,3.000000e-01,0.013399283,286.190
16.502769,3.000000e-01,0.013380664,286.210
17.285352,3.000000e-01,0.013380239,286.220
18.053913,3.000000e-01,0.013380297,286.220
18.787350,3.000000e-01,0.013380009,286.240
19.570039,3.000000e-01,0.013379741,286.260
20.353399,3.000000e-01,0.013379464,286.260
22.702571,4.000000e-01,0.017731206,286.310
23.440278,4.000000e-01,0.017697794,286.320
24.222360,4.000000e-01,0.017686247,286.320
25.006173,4.000000e-01,0.017686344,286.310
25.892660,4.000000e-01,0.017686683,286.320
26.670540,4.000000e-01,0.017688042,286.340
27.438622,4.000000e-01,0.017688774,286.370
29.760963,5.000000e-01,0.022083953,286.390
30.541268,5.000000e-01,0.022053680,286.390
31.323115,5.000000e-01,0.022052255,286.410
32.105741,5.000000e-01,0.022051726,286.440
32.873020,5.000000e-01,0.022051636,286.440
33.605526,5.000000e-01,0.022052010,286.460
34.388895,5.000000e-01,0.022052131,286.470
