Time (s),Current (A),Voltage (V),Temperature (K)
0.0013,1.000000e-01,0.004751228,287.560
2.5598,1.000000e-01,0.004713914,287.590
3.4424,1.000000e-01,0.004710279,287.590
4.3265,1.000000e-01,0.004711875,287.610
5.2109,1.000000e-01,0.004712499,287.610
6.0903,1.000000e-01,0.004717700,287.610
6.9721,1.000000e-01,0.004712787,287.640
7.8047,1.000000e-01,0.004710651,287.620
8.6922,1.000000e-01,0.004710557,287.660
9.5692,1.000000e-01,0.004709608,287.660
10.5889,1.000000e-01,0.004710636,287.670
11.4332,1.000000e-01,0.004709438,287.670
12.2664,1.000000e-01,0.004713405,287.670
13.1488,1.000000e-01,0.004711835,287.590
14.0311,1.000000e-01,0.004713772,287.710
14.9141,1.000000e-01,0.004710048,287.720
15.9303,1.000000e-01,0.004708086,287.720
16.8857,1.000000e-01,0.004709747,287.740
17.7601,1.000000e-01,0.004708467,287.770
18.6952,1.000000e-01,0.004709760,287.760
19.5754,1.000000e-01,0.004711357,287.770
20.4091,1.000000e-01,0.004712898,287.770
21.2907,1.000000e-01,0.004715317,287.790
22.1734,1.000000e-01,0.004716165,287.810
23.0555,1.000000e-01,0.004716392,287.790
23.9385,1.000000e-01,0.004716342,287.790
24.8206,1.000000e-01,0.004716469,287.810
25.7038,1.000000e-01,0.004721482,287.820
26.5717,1.000000e-01,0.004719030,287.840
27.5615,1.000000e-01,0.004718973,287.820
28.4507,1.000000e-01,0.004716701,287.860
29.3334,1.000000e-01,0.004711862,287.870
30.2162,1.000000e-01,0.004713407,287.870
31.0982,1.000000e-01,0.004715065,287.870
31.9688,1.000000e-01,0.004711622,287.870
32.8489,1.000000e-01,0.004713587,287.890
33.7317,1.000000e-01,0.004711621,287.910
34.5656,1.000000e-01,0.004711890,287.920
35.4481,1.000000e-01,0.004703720,287.910
36.3332,1.000000e-01,0.004702704,287.910
37.2140,1.000000e-01,0.004702679,287.890
38.0463,1.000000e-01,0.004699272,287.890
38.9281,1.000000e-01,0.004697987,287.860
39.8112,1.000000e-01,0.004700937,287.860
40.6963,1.000000e-01,0.004680707,287.810
41.5772,1.000000e-01,0.004663398,287.690
42.4604,1.000000e-01,0.004657957,287.570
43.3424,1.000000e-01,0.004655563,287.490
44.2239,1.000000e-01,0.004650611,287.390
45.1065,1.000000e-01,0.004645159,287.290
45.9886,1.000000e-01,0.004643230,287.190
46.8716,1.000000e-01,0.004635481,287.110
47.7539,1.000000e-01,0.004632461,286.990
48.6360,1.000000e-01,0.004630309,286.890
49.5181,1.000000e-01,0.004630831,286.790
50.4003,1.000000e-01,0.004626919,286.690
51.2818,1.000000e-01,0.004623218,286.590
52.1633,1.000000e-01,0.004620076,286.470
53.0458,1.000000e-01,0.004620191,286.360
53.9133,1.000000e-01,0.004620272,286.220
54.7991,1.000000e-01,0.004615286,286.120
55.6777,1.000000e-01,0.004604821,286.010
56.5149,1.000000e-01,0.004604749,285.900
57.3930,1.000000e-01,0.004603243,285.770
58.2237,1.000000e-01,0.004602139,285.670
59.0565,1.000000e-01,0.004597343,285.540
59.9381,1.000000e-01,0.004592554,285.420
60.8204,1.000000e-01,0.004582947,285.320
61.7025,1.000000e-01,0.004577234,285.190
62.5707,1.000000e-01,0.004575437,285.070
63.5459,1.000000e-01,0.004575446,284.940
64.3979,1.000000e-01,0.004569836,284.800
65.2654,1.000000e-01,0.004566989,284.690
66.1472,1.000000e-01,0.004567111,284.550
67.0286,1.000000e-01,0.004565822,284.420
67.8608,1.000000e-01,0.004562988,284.300
68.6936,1.000000e-01,0.004557959,284.190
69.5758,1.000000e-01,0.004557942,284.190
70.4074,1.000000e-01,0.004555089,284.050
71.2888,1.000000e-01,0.004550255,283.920
72.1719,1.000000e-01,0.004562793,283.820
73.0538,1.000000e-01,0.004571765,283.750
73.9348,1.000000e-01,0.004571692,283.620
74.8165,1.000000e-01,0.004568618,283.480
75.6986,1.000000e-01,0.004564371,283.350
76.5802,1.000000e-01,0.004562605,283.230
77.4625,1.000000e-01,0.004560945,283.130
78.3442,1.000000e-01,0.004557008,282.970
79.3311,1.000000e-01,0.004555310,282.870
80.3193,1.000000e-01,0.004548440,282.720
81.1909,1.000000e-01,0.004543624,282.600
82.0698,1.000000e-01,0.004537570,282.450
82.9508,1.000000e-01,0.004535432,282.320
83.8331,1.000000e-01,0.004534910,282.150
84.7143,1.000000e-01,0.004536053,282.020
85.5987,1.000000e-01,0.004533492,281.850
86.4772,1.000000e-01,0.004536865,281.700
87.3604,1.000000e-01,0.004526422,281.580
88.2415,1.000000e-01,0.004524128,281.410
89.2493,1.000000e-01,0.004521023,281.260
90.1054,1.000000e-01,0.004512985,281.110
90.9877,1.000000e-01,0.004511678,280.960
91.8703,1.000000e-01,0.004513304,280.800
92.7523,1.000000e-01,0.004513440,280.650
93.6340,1.000000e-01,0.004511099,280.480
94.5162,1.000000e-01,0.004504329,280.350
95.3985,1.000000e-01,0.004506076,280.200
96.2803,1.000000e-01,0.004501306,280.050
97.1622,1.000000e-01,0.004496718,279.890
98.0448,1.000000e-01,0.004492683,279.740
98.9120,1.000000e-01,0.004497556,279.560
99.7943,1.000000e-01,0.004493831,279.440
100.6268,1.000000e-01,0.004488944,279.270
101.5103,1.000000e-01,0.004484843,279.120
102.3433,1.000000e-01,0.004483477,278.960
103.2244,1.000000e-01,0.004480802,278.820
104.0567,1.000000e-01,0.004480516,278.650
104.9393,1.000000e-01,0.004474476,278.490
105.8215,1.000000e-01,0.004471382,278.340
106.7056,1.000000e-01,0.004468650,278.190
107.5863,1.000000e-01,0.004471622,278.040
108.4534,1.000000e-01,0.004473521,277.870
109.2864,1.000000e-01,0.004468389,277.700
110.1688,1.000000e-01,0.004467189,277.550
111.0511,1.000000e-01,0.004464346,277.380
111.8839,1.000000e-01,0.004465071,277.380
112.7163,1.000000e-01,0.004464923,277.230
113.5988,1.000000e-01,0.004461177,277.080
114.4804,1.000000e-01,0.004456698,276.930
115.3622,1.000000e-01,0.004453788,276.750
116.3530,1.000000e-01,0.004451610,276.580
117.2274,1.000000e-01,0.004453337,276.430
118.1071,1.000000e-01,0.004449526,276.240
118.9893,1.000000e-01,0.004447201,276.110
119.8703,1.000000e-01,0.004444889,275.940
120.7520,1.000000e-01,0.004446119,275.770
121.6348,1.000000e-01,0.004445398,275.620
122.5168,1.000000e-01,0.004444160,275.470
123.3994,1.000000e-01,0.004443508,275.300
124.2849,1.000000e-01,0.004439483,275.140
125.1635,1.000000e-01,0.004432477,274.970
126.0447,1.000000e-01,0.004427915,274.820
126.9270,1.000000e-01,0.004423171,274.670
127.8114,1.000000e-01,0.004421718,274.500
128.6922,1.000000e-01,0.004423006,274.330
129.5747,1.000000e-01,0.004420141,274.180
130.4562,1.000000e-01,0.004420124,274.020
131.3382,1.000000e-01,0.004410224,273.830
132.2040,1.000000e-01,0.004390749,273.580
133.0867,1.000000e-01,0.004367288,273.280
133.9185,1.000000e-01,0.004341744,272.940
134.8003,1.000000e-01,0.004325454,272.610
135.6326,1.000000e-01,0.004320750,272.240
136.5136,1.000000e-01,0.004317239,271.970
137.3460,1.000000e-01,0.004313490,271.650
138.2289,1.000000e-01,0.004300995,271.420
139.1138,1.000000e-01,0.004312679,271.120
139.9947,1.000000e-01,0.004298350,270.800
140.8614,1.000000e-01,0.004277671,270.510
141.6941,1.000000e-01,0.004263328,270.180
142.6298,1.000000e-01,0.004261870,269.760
143.5067,1.000000e-01,0.004251276,269.440
144.3882,1.000000e-01,0.004241356,269.040
145.2694,1.000000e-01,0.004230848,268.690
146.1497,1.000000e-01,0.004245483,268.340
146.9815,1.000000e-01,0.004255151,268.340
147.8150,1.000000e-01,0.004229479,267.980
148.6946,1.000000e-01,0.004216657,267.630
149.5759,1.000000e-01,0.004205108,267.260
150.4564,1.000000e-01,0.004193373,266.930
151.3381,1.000000e-01,0.004187792,266.590
152.2189,1.000000e-01,0.004176578,266.230
153.2118,1.000000e-01,0.004167047,265.890
154.0796,1.000000e-01,0.004159867,265.520
154.9610,1.000000e-01,0.004153600,265.170
155.8423,1.000000e-01,0.004140399,264.820
156.7223,1.000000e-01,0.004127634,264.470
